"Company Name","Business Name","Street Address",City,"State Abbreviation","Zip Code","Telephone Number","Line of Business",URL,Latitude,Longitude,"Primary NAICS","Primary SIC"
"STRATFORD RICHARDSON YMCA",,"1946 WEST BLVD",CHARLOTTE,NC,282086904,7047164800,"CIVIC/SOCIAL ASSOCIATION PHYSICAL FITNESS FACLTY SPORT/RECREATION CAMP INDIVIDUAL/FAMILY SVCS",WWW.YMCACHARLOTTE.ORG,35.213842,-80.891585,813410,86410300
"T SHIRT CHARITY",,"6211 MOSS BANK CT",CHARLOTTE,NC,282624230,7046440798,"COMMERCIAL PRINTING RET MISC APPAREL/ACCESSORIES MEMBERSHIP ORGANIZATION",WWW.TSHIRTCHARITY.COM,35.302167,-80.796074,323113,27590603
"THE CHARLOTTE-MECKLENBURG HOSPITAL AUTHORITY","DOWD YMCA","400 E MOREHEAD ST",CHARLOTTE,NC,282022610,7047166100,"CIVIC/SOCIAL ASSOCIATION PHYSICAL FITNESS FACLTY CHILD DAY CARE SERVICES SPORT/RECREATION CAMP INDIVIDUAL/FAMILY SVCS",WWW.ATRIUMHEALTH.ORG,35.21755,-80.848912,813410,86410300
"THE CHARLOTTE-MECKLENBURG HOSPITAL AUTHORITY","DOWD YMCA","3025 N DAVIDSON ST",CHARLOTTE,NC,282051041,,"CIVIC/SOCIAL ASSOCIATION PHYSICAL FITNESS FACLTY CHILD DAY CARE SERVICES SPORT/RECREATION CAMP INDIVIDUAL/FAMILY SVCS",WWW.ATRIUMHEALTH.ORG,35.246568,-80.808103,813410,86410300
"THE CHARLOTTE-MECKLENBURG HOSPITAL AUTHORITY","HARRIS FAMILY YMCA","5900 QUAIL HOLLOW RD",CHARLOTTE,NC,282105005,,"CIVIC/SOCIAL ASSOCIATION PHYSICAL FITNESS FACLTY CHILD DAY CARE SERVICES SPORT/RECREATION CAMP INDIVIDUAL/FAMILY SVCS",WWW.ATRIUMHEALTH.ORG,35.132033,-80.83987,813410,86410300
"THE CHARLOTTE-MECKLENBURG HOSPITAL AUTHORITY","UNIVERSITY CITY YMCA","8100 MALLARD CREEK RD",CHARLOTTE,NC,282622238,7047166700,"CIVIC/SOCIAL ASSOCIATION PHYSICAL FITNESS FACLTY CHILD DAY CARE SERVICES SPORT/RECREATION CAMP INDIVIDUAL/FAMILY SVCS",WWW.ATRIUMHEALTH.ORG,35.31645,-80.779824,813410,86410300
"THE JUNIOR LEAGUE OF CHARLOTTE INC","LEAGUE PRINT","1332 MARYLAND AVE",CHARLOTTE,NC,282091598,7043755993,"CHARITABLE ORGANIZATION AND SALES OF USED CLOTHING AND HOUSEHOLD ITEMS",WWW.JLCHARLOTTE.ORG,35.194562,-80.839403,813410,86999904
"THE SALVATION ARMY","SALVATION ARMY","2901 MILTON RD",CHARLOTTE,NC,282153540,7045684636,"RELIGIOUS ORGANIZATION MEMBERSHIP ORGANIZATION",SOUTHERNUSA.SALVATIONARMY.ORG,35.237909,-80.740639,813110,86610000
"THE SALVATION ARMY","SALVATION ARMY","534 SPRATT ST",CHARLOTTE,NC,282062969,7043482560,"RELIGIOUS ORGANIZATION MEMBERSHIP ORGANIZATION",SOUTHERNUSA.SALVATIONARMY.ORG,35.239634,-80.837157,813110,86610200
"THE SALVATION ARMY","SALVATION ARMY","901 BELMONT AVE",CHARLOTTE,NC,282052712,7042951605,"RELIGIOUS ORGANIZATION MEMBERSHIP ORGANIZATION",WWW.SALVATIONARMYUSA.ORG,35.228779,-80.821167,813110,86610000
"THE SALVATION ARMY","SALVATION ARMY","421 N POPLAR ST",CHARLOTTE,NC,282021727,7043760763,"RELIGIOUS ORGANIZATION MEMBERSHIP ORGANIZATION",SOUTHERNUSA.SALVATIONARMY.ORG,35.232176,-80.841846,813110,86610000
"THE SALVATION ARMY",,"1023 CENTRAL AVE",CHARLOTTE,NC,282042101,7043321171,"RELIGIOUS ORGANIZATION MEMBERSHIP ORGANIZATION",SOUTHERNUSA.SALVATIONARMY.ORG,35.222466,-80.819739,813110,86610200
"YOUNG MEN'S CHRISTIAN ASSOCIATION OF GREATER CHARLOTTE","JOHNSTON BRANCH","3025 N DAVIDSON ST",CHARLOTTE,NC,282051041,7043336206,"CIVIC/SOCIAL ASSOCIATION PHYSICAL FITNESS FACLTY CHILD DAY CARE SERVICES SPORT/RECREATION CAMP INDIVIDUAL/FAMILY SVCS",WWW.YMCACHARLOTTE.ORG,35.246568,-80.808103,813410,86410300
"YOUNG MEN'S CHRISTIAN ASSOCIATION OF GREATER CHARLOTTE","COMMUNITY DEVELOPMENT","3045 N DAVIDSON ST",CHARLOTTE,NC,282051041,7047166291,"CIVIC/SOCIAL ASSOCIATION PHYSICAL FITNESS FACLTY CHILD DAY CARE SERVICES SPORT/RECREATION CAMP INDIVIDUAL/FAMILY SVCS",WWW.YMCACHARLOTTE.ORG,35.246944,-80.807554,813410,86410300
"YOUNG MEN'S CHRISTIAN ASSOCIATION OF GREATER CHARLOTTE",YMCA,"9405 BRYANT FARMS RD",CHARLOTTE,NC,282771642,7047164600,"CIVIC/SOCIAL ASSOCIATION PHYSICAL FITNESS FACLTY CHILD DAY CARE SERVICES SPORT/RECREATION CAMP INDIVIDUAL/FAMILY SVCS",WWW.YMCACHARLOTTE.ORG,35.041759,-80.82688,813410,86410300
"YOUNG WOMEN'S CHRISTIAN ASSOCIATION OF THE CENTRAL CAROLINAS, INC.",YWCA,"6513 LEAFCREST LN",CHARLOTTE,NC,282104555,,"MEMBERSHIP SPORTS CLUB PHYSICAL FITNESS FACLTY CHILD DAY CARE SERVICES SPORT/RECREATION CAMP INDIVIDUAL/FAMILY SVCS",WWW.YWCACENTRALCAROLINAS.ORG,35.145327,-80.861192,713940,79970000
